"","sim_id","step","individuals","present_species","shannon","patch_individuals_mean","patch_species_mean","patch_shannon_mean","sample_individuals_mean","sample_species_mean","sample_shannon_mean","habitat","fragmentation"
"182","job1_sim2",82,6011,361,5.29194165761377,38.5320512820513,8.38461538461539,1.14077040454125,15.9867021276596,9.97340425531915,1.59192463969887,0.15,0.9
"183","job1_sim2",83,5957,357,5.2711904967781,38.1858974358974,8.26282051282051,1.12016993368429,15.843085106383,9.89627659574468,1.57252711817626,0.15,0.9
"184","job1_sim2",84,5852,348,5.26021826453452,37.5128205128205,8.22435897435897,1.11606253663084,15.563829787234,9.66223404255319,1.5524104344384,0.15,0.9
"185","job1_sim2",85,5756,336,5.22799247047071,36.8974358974359,7.8974358974359,1.0769083237467,15.3085106382979,9.49734042553191,1.52374414723992,0.15,0.9
"186","job1_sim2",86,5737,327,5.19850210169038,36.775641025641,7.73076923076923,1.01111456686816,15.2579787234043,9.46276595744681,1.48701362714687,0.15,0.9
"187","job1_sim2",87,5723,318,5.17865600907563,36.6858974358974,7.54487179487179,1.0060037863108,15.2207446808511,9.43085106382979,1.48141378346234,0.15,0.9
"188","job1_sim2",88,5751,313,5.1566725474642,36.8653846153846,7.59615384615385,0.988299132817078,15.2952127659574,9.39627659574468,1.47340299830144,0.15,0.9
"189","job1_sim2",89,5692,308,5.1419901537815,36.4871794871795,7.58974358974359,0.974775079225983,15.1382978723404,9.38829787234043,1.46322378357155,0.15,0.9
"190","job1_sim2",90,5570,298,5.11794159607365,35.7051282051282,7.30128205128205,0.948991517308986,14.813829787234,9.15159574468085,1.44223407507091,0.15,0.9
"191","job1_sim2",91,5589,295,5.10064475345721,35.8269230769231,7.18589743589744,0.930433700753212,14.8643617021277,9.12234042553191,1.42007555363684,0.15,0.9
"192","job1_sim2",92,5590,290,5.08819140347121,35.8333333333333,7.19871794871795,0.922775764829351,14.8670212765957,9.08776595744681,1.41754940484366,0.15,0.9
"193","job1_sim2",93,5528,286,5.07725055284014,35.4358974358974,6.98717948717949,0.906064174701181,14.7021276595745,9.01329787234043,1.41548356290066,0.15,0.9
"194","job1_sim2",94,5463,280,5.0552674520006,35.0192307692308,6.71794871794872,0.896055758934056,14.5292553191489,8.86702127659574,1.4023321308613,0.15,0.9
"195","job1_sim2",95,5452,273,5.03104573947145,34.9487179487179,6.69871794871795,0.910064186219156,14.5,8.84574468085106,1.39589646985176,0.15,0.9
"196","job1_sim2",96,5409,262,5.00379646426185,34.6730769230769,6.53846153846154,0.886180836552262,14.3856382978723,8.73670212765957,1.37578067440994,0.15,0.9
"197","job1_sim2",97,5309,258,5.00007495946444,34.0320512820513,6.44230769230769,0.87144804662404,14.1196808510638,8.68351063829787,1.36386110750373,0.15,0.9
"198","job1_sim2",98,5383,256,4.97416790643038,34.5064102564103,6.51923076923077,0.864891629734652,14.3164893617021,8.66489361702128,1.365815225811,0.15,0.9
"199","job1_sim2",99,5343,251,4.95846082141307,34.25,6.3974358974359,0.838789640558124,14.2101063829787,8.5,1.34997121519228,0.15,0.9
"200","job1_sim2",100,5375,249,4.94593315510316,34.4551282051282,6.32051282051282,0.830754965633111,14.2952127659574,8.52393617021277,1.33856234109493,0.15,0.9
